Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
2020,Complete,AUZUS0147,Education,UTSW Brain + Cancer (Fabrication Project),Turner Construction - San Antonio,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76163032,-96.89351482,
2025,Complete,AUZUS0248,Federal,Houston Police Complex & Parking Garage,Tellepsen,"1103 Goliad Street, Houston, TX 77002",Texas,29.76776748,-95.3708078,
2022,Complete,AUZUS0158,Federal,Lubbock Municipal Court,Lee Lewis Construction,"1214 14th St. Lubbock, TX 79401",Texas,33.58293828,-101.822498,
2024,Complete,AUZUS0191,Federal,Lubbock Police Headquarters,Lee Lewis Construction Inc.,"1401 15th St. Lubbock, TX 79401",Texas,33.58159513,-101.8483895,
2019,Complete,AUZUS0137,Federal,Plano Library Rec,Pouge Constructions,1520 K Ave Plano TX 75074,Texas,33.02067915,-96.69878496,
2024,Complete,AUZUS0150,Federal,DART Silver Line,Archer Western Herzog,"1548 Valwood Pkwy 118, Carrolton, TX 75006",Texas,32.93875116,-96.92217137,https://www.auzmet.com/addison-dart-station
In Progress,Active,AUZUS0305,Federal,RRMC Building A & B Security Operations Access,Grunley,"450 Harbaugh Valley Rd. Fairfield, PA 17320",Pennsylvania,39.73280998,-77.42142795,
2018,Complete,AUZUS0086,Federal,City of Plano Recreational Center,Pouge Constructions,6000 Jupiter Rd. Plano TX 75074,Texas,33.05425798,-96.67971428,https://www.auzmet.com/plano-recreational-center
In Progress,Active,AUZUS0258,Federal,Elm Ridge Municipal,Crossland Construction,"700 Savannah Blvd, Aubrey, TX 76227",Texas,33.22106995,-96.90284085,
In Progress,Active,AUZUS0320,Federal,WMATA Bethesda,Clark,"7450 Wisconsin Avenue, Bethesda, MD",Maryland,38.98437652,-77.09603532,
2016,Complete,AUZUS0039,Federal,Hurst Justice Center,AUI General Contractors,825 Thousand Oaks Dr. Hurst TX 76054,Texas,32.84094476,-97.18833064,
In Progress,Active,AUZUS0321,Federal,Nolan,Grunley,"8825 Beulah St Ft., Belvoir, VA. 22060",Virginia,38.71938511,-77.15738662,
2015,Complete,AUZUS0003,Federal,POLICE AVIATION (Fabrication Project),Read Architectural Products,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76162977,-96.89351412,
In Progress,Active,AUZUS0291,Federal,Project G,Grunley,National Park Service.  The White House and Presidents Park,District of Columbia,38.89521209,-77.03273721,
In Progress,Active,AUZUS0322,Federal,AOC TJB Visitor Experience,Kiewit,Thomas Jefferson Building - Washington DC,District of Columbia,38.88872616,-77.00487473,
In Progress,Active,AUZUS0314,Healthcare,"NIH Surgical, Radiological & Lab Medicine",Hensel Phelps,"10 Center Dr, Bethesda MD 20892",Maryland,39.00315438,-77.1044345,
In Progress,Active,AUZUS0280,Healthcare,Central Health,Rogers O'Brien,"1000 E 41st St, Unit 700, Austin, TX 78751",Texas,30.29859516,-97.71895473,
2021,Complete,AUZUS0131a,Hospitality,Omni Hotel - Tepco (Supply Spandrel),Tepco (Glazier on site),100 Oklahoma City Blvd OKC OK 73109,Oklahoma,35.46161779,-97.51565924,
